protein_id,symbol,description,entrez_id,ensembl,subcell_loc,passed_filter,protein_cluster,median_npeptides_quantification,prop_samples_expr
Q13510,ASAH1,RecName: Full=Acid ceramidase; Short=AC; Short=ACDase; Short=Acid CDase; EC=3.5.1.23; AltName: Full=Acylsphingosine deacylase; AltName: Full=N-acylsphingosine amidohydrolase; AltName: Full=Putative 32 kDa heart protein; Short=PHP32; Contains: RecName,427,ENSG00000104763,Lysosome,TRUE,6,13,0.9841269841269841
Q9ULH1,ASAP1,"RecName: Full=Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1; AltName: Full=130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein; AltName: Full=ADP-ribosylation factor-directed GTPase-activati",50807,ENSG00000153317,Cytoplasm,TRUE,4,4,0.9365079365079365
O43150,ASAP2,"RecName: Full=Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2; AltName: Full=Development and differentiation-enhancing factor 2; AltName: Full=Paxillin-associated protein with ARF GAP activity 3; Short=PAG3; AltName: Full=Pyk2",8853,ENSG00000151693,Cytoplasm,TRUE,3,4,0.9841269841269841
Q8TDY4,ASAP3,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3",55616,ENSG00000282854,Cytoplasm,FALSE,NA,1,0.1746031746031746
Q9Y576,ASB1,Ankyrin repeat and SOCS box protein 1,51665,ENSG00000065802,NA,FALSE,NA,1,0.031746031746031744
Q8WXI3,ASB10,Ankyrin repeat and SOCS box protein 10,136371,ENSG00000146926,Cytoplasm,FALSE,NA,1,0.031746031746031744
Q8WXK3,ASB13,Ankyrin repeat and SOCS box protein 13,79754,ENSG00000196372,NA,FALSE,NA,1,0.015873015873015872
A6NK59,ASB14,Ankyrin repeat and SOCS box protein 14,142686,ENSG00000239388,NA,FALSE,NA,1,0.015873015873015872
Q8WXK1,ASB15,Ankyrin repeat and SOCS box protein 15,142685,ENSG00000146809,NA,FALSE,NA,1,0
Q96NS5,ASB16,Ankyrin repeat and SOCS box protein 16,92591,ENSG00000161664,NA,FALSE,NA,1,0.015873015873015872
Q8WXJ9,ASB17,Ankyrin repeat and SOCS box protein 17,127247,ENSG00000154007,NA,FALSE,NA,1,0
Q6ZVZ8,ASB18,Ankyrin repeat and SOCS box protein 18,401036,ENSG00000182177,NA,FALSE,NA,1,0.015873015873015872
Q96Q27,ASB2,Ankyrin repeat and SOCS box protein 2,51676,ENSG00000100628,NA,FALSE,NA,1,0
Q9Y575,ASB3,Ankyrin repeat and SOCS box protein 3,100302652,ENSG00000115239,NA,FALSE,NA,1,0.015873015873015872
Q9Y574,ASB4,Ankyrin repeat and SOCS box protein 4,51666,ENSG00000005981,NA,FALSE,NA,1,0
Q9NWX5,ASB6,RecName: Full=Ankyrin repeat and SOCS box protein 6; Short=ASB-6,140459,ENSG00000148331,Cytoplasm,FALSE,NA,1,0.5873015873015873
Q9H672,ASB7,Ankyrin repeat and SOCS box protein 7,140460,ENSG00000183475,NA,FALSE,NA,1,0.015873015873015872
Q96DX5,ASB9,RecName: Full=Ankyrin repeat and SOCS box protein 9; Short=ASB-9,140462,ENSG00000102048,Mitochondrion,FALSE,NA,1,0.38095238095238093
Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1,51008,ENSG00000138303,Nucleus,FALSE,NA,2,0.7777777777777778
Q9H1I8,ASCC2,RecName: Full=Activating signal cointegrator 1 complex subunit 2; AltName: Full=ASC-1 complex subunit p100; AltName: Full=Trip4 complex subunit p100,84164,ENSG00000100325,Nucleus,TRUE,8,5,0.9523809523809523
Q8N3C0,ASCC3,"RecName: Full=Activating signal cointegrator 1 complex subunit 3; EC=3.6.4.12; AltName: Full=ASC-1 complex subunit p200; Short=ASC1p200; AltName: Full=Helicase, ATP binding 1; AltName: Full=Trip4 complex subunit p200",10973,ENSG00000112249,Nucleus,TRUE,2,16,1
Q99929,ASCL2,Achaete-scute homolog 2,430,ENSG00000183734,Nucleus,FALSE,NA,1,0.015873015873015872
Q7RTU5,ASCL5,Achaete-scute homolog 5,NA,ENSG00000232237,Nucleus,FALSE,NA,2,0
L0R819,ASDURF,ASNSD1 upstream open reading frame protein,NA,NA,Cytoplasm,FALSE,NA,2,0.7619047619047619
Q9Y294,ASF1A,RecName: Full=Histone chaperone ASF1A; AltName: Full=Anti-silencing function protein 1 homolog A; Short=hAsf1; Short=hAsf1a; AltName: Full=CCG1-interacting factor A; Short=CIA; Short=hCIA,25842,ENSG00000111875,Nucleus,FALSE,NA,2,0.6190476190476191
Q9NVP2,ASF1B,RecName: Full=Histone chaperone ASF1B; AltName: Full=Anti-silencing function protein 1 homolog B; Short=hAsf1; Short=hAsf1b; AltName: Full=CCG1-interacting factor A-II; Short=CIA-II; Short=hCIA-II,55723,ENSG00000105011,Nucleus,FALSE,NA,2,0.746031746031746
Q9NR48,ASH1L,Histone-lysine N-methyltransferase ASH1L,55870,ENSG00000116539,Nucleus,FALSE,NA,1,0.07936507936507936
Q9UBL3,ASH2L,RecName: Full=Set1/Ash2 histone methyltransferase complex subunit ASH2; AltName: Full=ASH2-like protein,9070,ENSG00000129691,Nucleus,TRUE,3,6,0.9523809523809523
Q9UHC3,ASIC3,Acid-sensing ion channel 3,9311,ENSG00000213199,Cell membrane,FALSE,NA,1,0.015873015873015872
Q96FT7,ASIC4,Acid-sensing ion channel 4,55515,ENSG00000072182,Membrane,FALSE,NA,1,0
Q9NY37,ASIC5,Acid-sensing ion channel 5,51802,ENSG00000256394,Cell membrane,FALSE,NA,1,0
P42127,ASIP,Agouti-signaling protein,434,ENSG00000101440,Secreted,FALSE,NA,1,0
P04424,ASL,RecName: Full=Argininosuccinate lyase; Short=ASAL; EC=4.3.2.1; AltName: Full=Arginosuccinase,435,ENSG00000126522,NA,TRUE,6,7,0.9841269841269841
O95671,ASMTL,RecName: Full=N-acetylserotonin O-methyltransferase-like protein; Short=ASMTL,8623,ENSG00000169093,NA,TRUE,7,5,0.9841269841269841
O43681,ASNA1,ATPase ASNA1,439,ENSG00000198356,Cytoplasm,TRUE,5,27,1
P08243,ASNS,Asparagine synthetase [glutamine-hydrolyzing],440,ENSG00000070669,NA,TRUE,2,18,0.9841269841269841
Q9NWL6,ASNSD1,RecName: Full=Asparagine synthetase domain-containing protein 1; AltName: Full=HCV NS3-transactivated protein 1,54529,ENSG00000138381,NA,FALSE,NA,1,0
P45381,ASPA,Aspartoacylase,443,ENSG00000108381,Cytoplasm,FALSE,NA,1,0.06349206349206349
A6ND91,ASPDH,Putative L-aspartate dehydrogenase,554235,ENSG00000204653,NA,FALSE,NA,1,0
Q86U10,ASPG,RecName: Full=60 kDa lysophospholipase; EC=3.1.1.5; Includes: RecName: Full=L-asparaginase; EC=3.5.1.1; AltName: Full=L-asparagine amidohydrolase; Includes: RecName: Full=Platelet-activating factor acetylhydrolase; Short=PAF acetylhydrolase; EC=3.1.1,374569,ENSG00000166183,NA,FALSE,NA,1,0.015873015873015872
Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase,444,ENSG00000198363,Endoplasmic reticulum membrane,TRUE,1,43,1
Q5U4P2,ASPHD1,Aspartate beta-hydroxylase domain-containing protein 1,253982,ENSG00000174939,Membrane,FALSE,NA,1,0.031746031746031744
Q8IZT6,ASPM,RecName: Full=Abnormal spindle-like microcephaly-associated protein; AltName: Full=Abnormal spindle protein homolog; Short=Asp homolog,259266,ENSG00000066279,Cytoplasm,FALSE,NA,1,0.047619047619047616
Q9BXN1,ASPN,Asporin,54829,ENSG00000106819,"Secreted, extracellular space, extracellular matrix",FALSE,NA,8,0.1746031746031746
Q53RT3,ASPRV1,Retroviral-like aspartic protease 1,151516,ENSG00000244617,Membrane,FALSE,NA,1,0.015873015873015872
Q9BZE9,ASPSCR1,RecName: Full=Tether containing UBX domain for GLUT4; AltName: Full=Alveolar soft part sarcoma chromosomal region candidate gene 1 protein; AltName: Full=Alveolar soft part sarcoma locus; AltName: Full=Renal papillary cell carcinoma protein 17; AltNa,79058,ENSG00000169696,Endomembrane system,TRUE,2,7,1
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase,80150,ENSG00000162174,Cytoplasm,FALSE,NA,1,0.6031746031746031
P00966,ASS1,Argininosuccinate synthase,445,ENSG00000130707,"Cytoplasm, cytosol",TRUE,7,29,1
Q2TB18,ASTE1,Protein asteroid homolog 1,28990,ENSG00000034533,NA,FALSE,NA,1,0.14285714285714285
Q6HA08,ASTL,Astacin-like metalloendopeptidase,431705,ENSG00000188886,Cytoplasm,FALSE,NA,1,0
O14525,ASTN1,Astrotactin-1,460,ENSG00000152092,Cell membrane,FALSE,NA,1,0.015873015873015872
O75129,ASTN2,Astrotactin-2,23245,ENSG00000148219,Membrane,FALSE,NA,1,0.07936507936507936
Q8IXJ9,ASXL1,Putative Polycomb group protein ASXL1,171023,ENSG00000171456,Nucleus,FALSE,NA,1,0.07936507936507936
Q76L83,ASXL2,Putative Polycomb group protein ASXL2,55252,ENSG00000143970,Nucleus,FALSE,NA,1,0.19047619047619047
Q9C0F0,ASXL3,Putative Polycomb group protein ASXL3,80816,ENSG00000141431,Nucleus,FALSE,NA,1,0.06349206349206349
Q8WWH4,ASZ1,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1",136991,ENSG00000154438,Cytoplasm,FALSE,NA,1,0
Q8NBU5,ATAD1,RecName: Full=ATPase family AAA domain-containing protein 1; EC=3.6.1.3; AltName: Full=Thorase,84896,ENSG00000138138,Peroxisome,TRUE,8,5,1
Q6PL18,ATAD2,RecName: Full=ATPase family AAA domain-containing protein 2; EC=3.6.1.3; AltName: Full=AAA nuclear coregulator cancer-associated protein; Short=ANCCA,29028,ENSG00000156802,Nucleus,TRUE,3,5,0.8095238095238095
Q9ULI0,ATAD2B,ATPase family AAA domain-containing protein 2B,54454,ENSG00000119778,Nucleus,FALSE,NA,1,0.19047619047619047
Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A,55210,ENSG00000197785,Mitochondrion inner membrane,TRUE,3,9,1
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B,83858,ENSG00000160072,Mitochondrion inner membrane,TRUE,3,4,1
Q5T2N8,ATAD3C,RecName: Full=ATPase family AAA domain-containing protein 3C,219293,ENSG00000215915,NA,FALSE,NA,1,0
Q96QE3,ATAD5,ATPase family AAA domain-containing protein 5,79915,ENSG00000176208,Nucleus,FALSE,NA,1,0.20634920634920634
Q5SQI0,ATAT1,Alpha-tubulin N-acetyltransferase 1,79969,ENSG00000137343,Cytoplasm,FALSE,NA,1,0.031746031746031744
Q86WG3,ATCAY,RecName: Full=Caytaxin; AltName: Full=Ataxia cayman type protein; AltName: Full=BNIP-2-homology; Short=BNIP-H,85300,ENSG00000167654,"Cell projection, axon",FALSE,NA,1,0
O95260,ATE1,RecName: Full=Arginyl-tRNA--protein transferase 1; Short=Arginyltransferase 1; Short=R-transferase 1; EC=2.3.2.8; AltName: Full=Arginine-tRNA--protein transferase 1,11101,ENSG00000107669,Nucleus,FALSE,NA,3,0.8571428571428571
P18846,ATF1,RecName: Full=Cyclic AMP-dependent transcription factor ATF-1; Short=cAMP-dependent transcription factor ATF-1; AltName: Full=Activating transcription factor 1; AltName: Full=Protein TREB36,466,ENSG00000123268,Nucleus,FALSE,NA,1,0.6031746031746031
P15336,ATF2,RecName: Full=Cyclic AMP-dependent transcription factor ATF-2; Short=cAMP-dependent transcription factor ATF-2; AltName: Full=Activating transcription factor 2; AltName: Full=Cyclic AMP-responsive element-binding protein 2; Short=CREB-2; Short=cAMP-r,1386,ENSG00000115966,Nucleus,FALSE,NA,1,0.3492063492063492
P18847,ATF3,Cyclic AMP-dependent transcription factor ATF-3,467,ENSG00000162772,Nucleus,FALSE,NA,1,0
P18848,ATF4,Cyclic AMP-dependent transcription factor ATF-4,468,ENSG00000128272,Nucleus,FALSE,NA,1,0.031746031746031744
P18850,ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha,22926,ENSG00000118217,Endoplasmic reticulum membrane,FALSE,NA,1,0.047619047619047616
Q99941,ATF6B,RecName: Full=Cyclic AMP-dependent transcription factor ATF-6 beta; Short=cAMP-dependent transcription factor ATF-6 beta; AltName: Full=Activating transcription factor 6 beta; Short=ATF6-beta; AltName: Full=Protein G13; AltName: Full=cAMP response el,1388,ENSG00000168468,Endoplasmic reticulum membrane,FALSE,NA,1,0.31746031746031744
P17544,ATF7,RecName: Full=Cyclic AMP-dependent transcription factor ATF-7; Short=cAMP-dependent transcription factor ATF-7; AltName: Full=Activating transcription factor 7; AltName: Full=Transcription factor ATF-A,11016,ENSG00000170653,Nucleus,FALSE,NA,1,0.6825396825396826
Q6VMQ6,ATF7IP,RecName: Full=Activating transcription factor 7-interacting protein 1; AltName: Full=ATF-interacting protein; Short=ATF-IP; AltName: Full=ATF7-interacting protein; AltName: Full=ATFa-associated modulator; Short=hAM; AltName: Full=MBD1-containing chro,55729,ENSG00000171681,Nucleus,TRUE,5,5,0.9523809523809523
Q5U623,ATF7IP2,Activating transcription factor 7-interacting protein 2,80063,ENSG00000166669,Nucleus,FALSE,NA,1,0.047619047619047616
Q9H0Y0,ATG10,Ubiquitin-like-conjugating enzyme ATG10,83734,ENSG00000152348,Cytoplasm,FALSE,NA,1,0.746031746031746
Q9BSB4,ATG101,RecName: Full=Autophagy-related protein 101,60673,ENSG00000123395,Cytoplasm,FALSE,NA,1,0.4444444444444444
O94817,ATG12,Ubiquitin-like protein ATG12,9140,ENSG00000145782,Cytoplasm,FALSE,NA,1,0.015873015873015872
O75143,ATG13,RecName: Full=Autophagy-related protein 13,9776,ENSG00000175224,"Cytoplasm, cytosol",FALSE,NA,2,0.5238095238095238
Q6ZNE5,ATG14,RecName: Full=Beclin 1-associated autophagy-related key regulator; Short=Barkor; AltName: Full=Autophagy-related protein 14-like protein; Short=Atg14L,22863,ENSG00000126775,Cytoplasm,FALSE,NA,1,0.4444444444444444
Q676U5,ATG16L1,RecName: Full=Autophagy-related protein 16-1; AltName: Full=APG16-like 1,55054,ENSG00000085978,Cytoplasm,TRUE,1,4,0.9523809523809523
Q2TAZ0,ATG2A,RecName: Full=Autophagy-related protein 2 homolog A,23130,ENSG00000110046,Preautophagosomal structure membrane,FALSE,NA,2,0.5396825396825397
Q96BY7,ATG2B,RecName: Full=Autophagy-related protein 2 homolog B,55102,ENSG00000066739,Preautophagosomal structure membrane,FALSE,NA,1,0.6984126984126984
Q9NT62,ATG3,Ubiquitin-like-conjugating enzyme ATG3,64422,ENSG00000144848,Cytoplasm,TRUE,4,11,1
Q8WYN0,ATG4A,RecName: Full=Cysteine protease ATG4A; EC=3.4.22.-; AltName: Full=AUT-like 2 cysteine endopeptidase; AltName: Full=Autophagin-2; AltName: Full=Autophagy-related cysteine endopeptidase 2; AltName: Full=Autophagy-related protein 4 homolog A; Short=hAPG,115201,ENSG00000101844,Cytoplasm,FALSE,NA,1,0.12698412698412698
Q9Y4P1,ATG4B,Cysteine protease ATG4B,23192,ENSG00000168397,Cytoplasm,TRUE,3,5,1
Q96DT6,ATG4C,Cysteine protease ATG4C,84938,ENSG00000125703,Cytoplasm,FALSE,NA,1,0.6825396825396826
Q86TL0,ATG4D,Cysteine protease ATG4D,84971,ENSG00000130734,Cytoplasm,FALSE,NA,1,0.015873015873015872
Q9H1Y0,ATG5,RecName: Full=Autophagy protein 5; AltName: Full=APG5-like; AltName: Full=Apoptosis-specific protein,9474,ENSG00000057663,Cytoplasm,TRUE,6,4,0.8571428571428571
O95352,ATG7,RecName: Full=Ubiquitin-like modifier-activating enzyme ATG7; AltName: Full=ATG12-activating enzyme E1 ATG7; AltName: Full=Autophagy-related protein 7; Short=APG7-like; Short=hAGP7; AltName: Full=Ubiquitin-activating enzyme E1-like protein,10533,ENSG00000197548,Cytoplasm,TRUE,4,10,0.9841269841269841
Q7Z3C6,ATG9A,RecName: Full=Autophagy-related protein 9A; AltName: Full=APG9-like 1; AltName: Full=mATG9,79065,ENSG00000198925,"Cytoplasmic vesicle, autophagosome membrane",FALSE,NA,3,0.7301587301587301
Q674R7,ATG9B,Autophagy-related protein 9B,285973,ENSG00000181652,"Cytoplasmic vesicle, autophagosome membrane",FALSE,NA,1,0
P31939,ATIC,Bifunctional purine biosynthesis protein PURH,471,ENSG00000138363,NA,TRUE,6,104,1
Q8WXF7,ATL1,RecName: Full=Atlastin-1; EC=3.6.5.-; AltName: Full=Brain-specific GTP-binding protein; AltName: Full=GTP-binding protein 3; Short=GBP-3; Short=hGBP3; AltName: Full=Guanine nucleotide-binding protein 3; AltName: Full=Spastic paraplegia 3 protein A,51062,ENSG00000198513,Endoplasmic reticulum membrane,FALSE,NA,2,0.5714285714285714
Q8NHH9,ATL2,RecName: Full=Atlastin-2; EC=3.6.5.-; AltName: Full=ADP-ribosylation factor-like protein 6-interacting protein 2; Short=ARL-6-interacting protein 2; Short=Aip-2,64225,ENSG00000119787,Endoplasmic reticulum membrane,TRUE,3,9,1
Q6DD88,ATL3,RecName: Full=Atlastin-3; EC=3.6.5.-,25923,ENSG00000184743,Endoplasmic reticulum membrane,TRUE,4,37,1
Q13315,ATM,RecName: Full=Serine-protein kinase ATM; EC=2.7.11.1; AltName: Full=Ataxia telangiectasia mutated; Short=A-T mutated,472,ENSG00000149311,Nucleus,FALSE,NA,2,0.8095238095238095
O43313,ATMIN,ATM interactor,23300,ENSG00000166454,Nucleus,FALSE,NA,1,0
P54259,ATN1,Atrophin-1,1822,ENSG00000111676,Nucleus,FALSE,NA,1,0.31746031746031744
Q8N100,ATOH7,Protein atonal homolog 7,220202,ENSG00000179774,Nucleus,FALSE,NA,1,0
O00244,ATOX1,RecName: Full=Copper transport protein ATOX1; AltName: Full=Metal transport protein ATX1,475,ENSG00000177556,NA,TRUE,4,10,1
O60312,ATP10A,Probable phospholipid-transporting ATPase VA,57194,ENSG00000206190,Cell membrane,FALSE,NA,1,0
O94823,ATP10B,Probable phospholipid-transporting ATPase VB,23120,ENSG00000118322,Cytoplasmic vesicle membrane,FALSE,NA,1,0.09523809523809523
Q9P241,ATP10D,Probable phospholipid-transporting ATPase VD,57205,ENSG00000145246,Cell membrane,FALSE,NA,1,0
P98196,ATP11A,RecName: Full=Probable phospholipid-transporting ATPase IH; EC=3.6.3.1; AltName: Full=ATPase IS; AltName: Full=ATPase class VI type 11A,23250,ENSG00000068650,Cell membrane,FALSE,NA,1,0.2698412698412698
Q9Y2G3,ATP11B,RecName: Full=Probable phospholipid-transporting ATPase IF; EC=3.6.3.1; AltName: Full=ATPase IR; AltName: Full=ATPase class VI type 11B,23200,ENSG00000058063,Recycling endosome membrane,FALSE,NA,2,0.7301587301587301
Q8NB49,ATP11C,RecName: Full=Probable phospholipid-transporting ATPase IG; EC=3.6.3.1; AltName: Full=ATPase IQ; AltName: Full=ATPase class VI type 11C,286410,ENSG00000101974,Cell membrane,FALSE,NA,1,0.5555555555555556
P54707,ATP12A,RecName: Full=Potassium-transporting ATPase alpha chain 2; EC=3.6.3.10; AltName: Full=Non-gastric H(+)/K(+) ATPase subunit alpha; AltName: Full=Proton pump,479,ENSG00000075673,Membrane,FALSE,NA,1,0.015873015873015872
Q9HD20,ATP13A1,RecName: Full=Probable cation-transporting ATPase 13A1; EC=3.6.3.-,57130,ENSG00000105726,Endoplasmic reticulum membrane,TRUE,2,17,1
Q9NQ11,ATP13A2,Probable cation-transporting ATPase 13A2,23400,ENSG00000159363,Lysosome membrane,FALSE,NA,1,0.12698412698412698
Q9H7F0,ATP13A3,RecName: Full=Probable cation-transporting ATPase 13A3; EC=3.6.3.-; AltName: Full=ATPase family homolog up-regulated in senescence cells 1,79572,ENSG00000133657,Membrane,FALSE,NA,1,0.47619047619047616
Q4VNC1,ATP13A4,Probable cation-transporting ATPase 13A4,84239,ENSG00000127249,Membrane,FALSE,NA,1,0
Q4VNC0,ATP13A5,Probable cation-transporting ATPase 13A5,344905,ENSG00000187527,Membrane,FALSE,NA,1,0
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,476,ENSG00000163399,"Cell membrane, sarcolemma",TRUE,1,69,1
P50993,ATP1A2,RecName: Full=Sodium/potassium-transporting ATPase subunit alpha-2; Short=Na(+)/K(+) ATPase alpha-2 subunit; EC=3.6.3.9; AltName: Full=Sodium pump subunit alpha-2; Flags: Precursor,477,ENSG00000018625,Membrane,FALSE,NA,1,0
P13637,ATP1A3,RecName: Full=Sodium/potassium-transporting ATPase subunit alpha-3; Short=Na(+)/K(+) ATPase alpha-3 subunit; EC=3.6.3.9; AltName: Full=Na(+)/K(+) ATPase alpha(III) subunit; AltName: Full=Sodium pump subunit alpha-3,478,ENSG00000105409,Cell membrane,FALSE,NA,1,0.015873015873015872
Q13733,ATP1A4,RecName: Full=Sodium/potassium-transporting ATPase subunit alpha-4; Short=Na(+)/K(+) ATPase alpha-4 subunit; EC=3.6.3.9; AltName: Full=Sodium pump subunit alpha-4,480,ENSG00000132681,Cell membrane,FALSE,NA,1,0
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,481,ENSG00000143153,Cell membrane,TRUE,1,15,1
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,483,ENSG00000069849,Cell membrane,TRUE,8,19,1
Q9Y6H3,ATP23,Mitochondrial inner membrane protease ATP23 homolog,91419,ENSG00000166896,NA,FALSE,NA,1,0.06349206349206349
O14983,ATP2A1,"RecName: Full=Sarcoplasmic/endoplasmic reticulum calcium ATPase 1; Short=SERCA1; Short=SR Ca(2+)-ATPase 1; EC=3.6.3.8; AltName: Full=Calcium pump 1; AltName: Full=Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle is",487,ENSG00000196296,Endoplasmic reticulum membrane,FALSE,NA,2,0.031746031746031744
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,488,ENSG00000174437,Endoplasmic reticulum membrane,TRUE,4,48,1
Q93084,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,489,ENSG00000074370,Nucleus membrane,FALSE,NA,3,0.1111111111111111
P20020,ATP2B1,RecName: Full=Plasma membrane calcium-transporting ATPase 1; Short=PMCA1; EC=3.6.3.8; AltName: Full=Plasma membrane calcium ATPase isoform 1; AltName: Full=Plasma membrane calcium pump isoform 1,490,ENSG00000070961,Cell membrane,TRUE,8,18,1
Q01814,ATP2B2,RecName: Full=Plasma membrane calcium-transporting ATPase 2; Short=PMCA2; EC=3.6.3.8; AltName: Full=Plasma membrane calcium ATPase isoform 2; AltName: Full=Plasma membrane calcium pump isoform 2,491,ENSG00000157087,"Cell junction, synapse",FALSE,NA,1,0.20634920634920634
Q16720,ATP2B3,RecName: Full=Plasma membrane calcium-transporting ATPase 3; Short=PMCA3; EC=3.6.3.8; AltName: Full=Plasma membrane calcium ATPase isoform 3; AltName: Full=Plasma membrane calcium pump isoform 3,492,ENSG00000067842,Cell membrane,FALSE,NA,1,0.031746031746031744
P23634,ATP2B4,RecName: Full=Plasma membrane calcium-transporting ATPase 4; Short=PMCA4; EC=3.6.3.8; AltName: Full=Matrix-remodeling-associated protein 1; AltName: Full=Plasma membrane calcium ATPase isoform 4; AltName: Full=Plasma membrane calcium pump isoform 4,493,ENSG00000058668,Cell membrane,TRUE,1,23,1
P98194,ATP2C1,RecName: Full=Calcium-transporting ATPase type 2C member 1; Short=ATPase 2C1; EC=3.6.3.8; AltName: Full=ATP-dependent Ca(2+) pump PMR1,27032,ENSG00000017260,Golgi apparatus membrane,TRUE,6,8,0.9841269841269841
O75185,ATP2C2,Calcium-transporting ATPase type 2C member 2,9914,ENSG00000064270,Membrane,FALSE,NA,1,0.015873015873015872
P20648,ATP4A,RecName: Full=Potassium-transporting ATPase alpha chain 1; EC=3.6.3.10; AltName: Full=Gastric H(+)/K(+) ATPase subunit alpha; AltName: Full=Proton pump,495,ENSG00000105675,Cell membrane,FALSE,NA,1,0.12698412698412698
P24539,ATP5F1,"RecName: Full=ATP synthase subunit b, mitochondrial; Short=ATPase subunit b; Flags: Precursor",515,ENSG00000116459,Mitochondrion,TRUE,1,15,1
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",498,ENSG00000152234,Mitochondrion,TRUE,1,120,1
P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial",506,ENSG00000110955,Mitochondrion inner membrane,TRUE,6,175,1
P36542,ATP5F1C,"RecName: Full=ATP synthase subunit gamma, mitochondrial; AltName: Full=F-ATPase gamma subunit; Flags: Precursor",509,ENSG00000165629,Mitochondrion inner membrane,TRUE,6,21,1
P30049,ATP5F1D,"RecName: Full=ATP synthase subunit delta, mitochondrial; AltName: Full=F-ATPase delta subunit; Flags: Precursor",513,ENSG00000099624,Mitochondrion,TRUE,6,10,1
P56381,ATP5F1E,"ATP synthase subunit epsilon, mitochondrial",514,ENSG00000124172,Mitochondrion,FALSE,NA,1.5,0.015873015873015872
O75947,ATP5H,"RecName: Full=ATP synthase subunit d, mitochondrial; Short=ATPase subunit d",10476,ENSG00000167863,Mitochondrion,TRUE,6,31,1
Q9UII2,ATP5IF1,"ATPase inhibitor, mitochondrial",93974,ENSG00000130770,Mitochondrion,FALSE,NA,2.5,0.4444444444444444
P18859,ATP5J,"RecName: Full=ATP synthase-coupling factor 6, mitochondrial; Short=ATPase subunit F6; Flags: Precursor",522,ENSG00000154723,Mitochondrion,TRUE,6,14,1
O75964,ATP5L,"RecName: Full=ATP synthase subunit g, mitochondrial; Short=ATPase subunit g",10632,ENSG00000167283,Mitochondrion,TRUE,6,10,0.9841269841269841
P56385,ATP5ME,"RecName: Full=ATP synthase subunit e, mitochondrial; Short=ATPase subunit e",521,ENSG00000169020,Mitochondrion,TRUE,6,5,0.9682539682539683
P56134,ATP5MF,"ATP synthase subunit f, mitochondrial",9551,ENSG00000241468,Mitochondrion,TRUE,1,5,1
P48047,ATP5PO,"RecName: Full=ATP synthase subunit O, mitochondrial; AltName: Full=Oligomycin sensitivity conferral protein; Short=OSCP; Flags: Precursor",539,ENSG00000241837,Mitochondrion,TRUE,6,36,1
Q99766,ATP5S,"RecName: Full=ATP synthase subunit s, mitochondrial; AltName: Full=ATP synthase-coupling factor B; Short=FB; AltName: Full=Mitochondrial ATP synthase regulatory component factor B; Flags: Precursor",27109,ENSG00000125375,Mitochondrion,FALSE,NA,1,0.5079365079365079
Q15904,ATP6AP1,RecName: Full=V-type proton ATPase subunit S1; Short=V-ATPase subunit S1; AltName: Full=Protein XAP-3; AltName: Full=V-ATPase Ac45 subunit; AltName: Full=V-ATPase S1 accessory protein; AltName: Full=Vacuolar proton pump subunit S1; Flags: Precursor,537,ENSG00000071553,Endoplasmic reticulum membrane,TRUE,2,5,1
O75787,ATP6AP2,RecName: Full=Renin receptor; AltName: Full=ATPase H(+)-transporting lysosomal accessory protein 2; AltName: Full=ATPase H(+)-transporting lysosomal-interacting protein 2; AltName: Full=ER-localized type I transmembrane adaptor; AltName: Full=Embryon,10159,ENSG00000182220,Endoplasmic reticulum membrane,TRUE,8,4,0.9365079365079365
Q93050,ATP6V0A1,RecName: Full=V-type proton ATPase 116 kDa subunit a isoform 1; Short=V-ATPase 116 kDa isoform a1; AltName: Full=Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit; AltName: Full=Vacuolar adenosine triphosphatase subunit Ac116; AltN,535,ENSG00000033627,Cytoplasmic vesicle membrane,TRUE,4,8,1
